"2098940781","2098940781","PUB","TH","Thailand","Prachin Buri","Prachin Buri","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"1017923341","1017923341","PUB","CN","China","Anhui","Huangshan","ChinaNet Anhui Province Network","chinatelecom.com.cn","ISP/MOB",,
"2074659419","2074659419","PUB","CN","China","Shandong","Weifang","Shandong Telecom Corporation","chinatelecom.com.cn","ISP",,
"2915697448","2915697448","PUB","US","United States","Arkansas","Cherokee Village","CenturyLink Communications LLC","centurylink.com","ISP",,
"1741795917","1741795917","PUB","IN","India","Madhya Pradesh","Singrauli","Priya Agency","-","COM",,
"1586011473","1586011473","PUB","SK","Slovakia","Kosicky kraj","Michalovce","NAFTA a.s. Slovakia","minet.sk","COM",,
"1566040297","1566040297","PUB","RS","Serbia","Juznobacki okrug","Despotovo","Telekom Srbija","telekom.rs","ISP/MOB",,
"2965474191","2965474191","PUB","RU","Russian Federation","Moskovskaya oblast'","Dolgoprudnyy","Net By Net Holding LLC","netbynet.ru","ISP",,
"16897060","16897060","PUB","TH","Thailand","Loei","Loei","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"1319456588","1319456588","PUB","TR","Turkey","Eskisehir","Eskisehir","Turk Telekomunikasyon Anonim Sirketi","turktelekom.com.tr","ISP",,
"3027141654","3027141654","PUB","CN","China","Jiangsu","Nanjing","ChinaNet Jiangsu Province Network","chinatelecom.com.cn","ISP/MOB",,
"1731674218","1731674218","PUB","IN","India","Uttarakhand","Tehri","Skynet Broadband Pvt Ltd","airtel.in","ISP",,
"418473134","418473134","PUB","US","United States","Missouri","Town and Country","Charter Communications Inc","spectrum.com","ISP",,
"1596935314","1596935314","PUB","RU","Russian Federation","Khanty-Mansiyskiy avtonomnyy okrug","Nizhnevartovsk","Metroset Ltd.","metro-set.ru","ISP",,
"1991064594","1991064594","PUB","TH","Thailand","Phitsanulok","Phitsanulok","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"3056979607","3056979608","PUB","TH","Thailand","Chanthaburi","Chanthaburi","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"2990138992","2990138992","PUB","RU","Russian Federation","Moskovskaya oblast'","Klin","Flex Ltd.","flex.ru","ISP",,
"1591647647","1591647647","PUB","DE","Germany","Sachsen","Dresden","Vodafone GmbH","vodafone.de","MOB",,
"3017398904","3017398904","PUB","BR","Brazil","Rio Grande do Sul","Cruz Alta","Claro S.A.","claro.com.br","MOB",,
"2868153653","2868153654","PUB","BR","Brazil","Minas Gerais","Montes Claros","Realnet Telecomunicacoes e Multimidia Ltda","-","COM",,
"1992187683","1992187683","PUB","CN","China","Zhejiang","Hangzhou","Aliyun Computing Co. Ltd","aliyun.com","DCH",,
"1337797194","1337797194","PUB","PL","Poland","Swietokrzyskie","Kielce","Orange Polska Spolka Akcyjna","orange.pl","ISP/MOB",,
"3371007229","3371007230","PUB","BR","Brazil","Rio Grande do Sul","Porto Alegre","Netstore Informatica","netstore.inf.br","ISP",,
"3541716142","3541716142","PUB","AU","Australia","New South Wales","Sydney","Commander Broadband","iprimus.net.au","ISP",,
"1295503586","1295503586","PUB","PL","Poland","Malopolskie","Krakow","Nazwa.pl Sp.z.o.o.","nazwa.pl","DCH",,
"42805771","42805771","PUB","ES","Spain","Valenciana, Comunidad","Pilar de la Horadada","Telefonica de Espana Sau","telefonica.com","ISP/MOB",
"3192578687","3192578687","PUB","VE","Venezuela, Bolivarian Republic of","Distrito Capital","Caracas","CANTV Servicios Venezuela","cantv.net","ISP",
"3413206474","3413206474","PUB","TH","Thailand","Phangnga","Kapong","TOT Public Company Limited","tot.co.th","ISP/MOB",,
